datatype,kind,id,latitude,longitude,city,type,status,country
physicalStore,Zara,3610,19.4864728,-99.1311578,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,1283,19.486732699999997,-99.1521395,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,398,19.431471000000002,-99.19524799999999,CIUDAD DE MEXICO,Street,OPEN,Mexico
physicalStore,Zara,3734,19.3825382,-99.0831302,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,3424,19.438718,-99.201386,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,12655,19.4409399,-99.2024147,CIUDAD DE MEXICO,Street,PROVISIONAL,Mexico
physicalStore,Zara,9328,19.454298,-99.218939,NAUCALPAN,Mall,OPEN,Mexico
physicalStore,Zara,1266,19.346498,-99.179875,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,3135,19.4033863,-99.242446,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,318,19.5104422,-99.2342177,NAUCALPAN,Mall,OPEN,Mexico
physicalStore,Zara,9117,19.2978293,-99.1378993,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,324,19.3041755,-99.1890147,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,12587,19.3136111,-99.21916666999999,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,3835,19.39829,-99.28241,HUIXQUILUCAN,Mall,OPEN,Mexico
physicalStore,Zara,333,19.362164999999997,-99.271291,CIUDAD DE MEXICO,Mall,OPEN,Mexico
physicalStore,Zara,9257,19.5493098,-99.2737745,ATIZAPAN DE ZARAGOZA,Mall,OPEN,Mexico
physicalStore,Zara,3925,41.01406111,28.94545555,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,16004,41.02789,28.984692000000003,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,9280,41.033236,28.976984,ISTANBUL,Street,OPEN,Turkey
physicalStore,Zara,3425,41.05069,28.99273,ISTANBUL,Street,OPEN,Turkey
physicalStore,Zara,9235,40.9970703,28.8852688,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,12692,41.0635953,28.992115599999998,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,9052,41.046623,28.896683,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,12638,41.067192,29.016316,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,6486,41.00226264,29.0546045,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,3800,40.97767257,28.8705024,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,14928,41.0743,29.020200000000003,ISTANBUL,Street,PROVISIONAL,Turkey
physicalStore,Zara,3195,41.076828,29.0269832,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,11767,41.002419,29.0710313,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,11942,41.107045,28.987686,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,3231,40.9589504,29.082668599999998,ISTANBUL,Street,OPEN,Turkey
physicalStore,Zara,3837,40.98641214,29.099931769999998,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,3740,41.109947,29.032595,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,9259,41.06196,28.807417,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,1414,41.026341,29.126558,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,11712,40.953106,29.121724999999998,ISTANBUL,Mall,OPEN,Turkey
